country,customer_ID,invoice_number,invoice_date,due_date,invoice_amount_usd,disputed,dispute_lost,settled_date,days_to_settle,days_late
France,9771-QTLGZ,2404027687,19/07/2020,18/08/2020,6740,1,0,01/08/2020,13,0
Russia,8887-NCUZC,2384851679,01/10/2020,31/10/2020,4200,0,0,24/10/2020,23,0
United States,6831-FIODB,2399454051,18/12/2020,17/01/2021,4156,0,0,25/01/2021,38,8
France,4632-QZOKX,8099860445,23/07/2020,22/08/2020,5271,1,0,25/08/2020,33,3
France,5573-KSOIA,2419712397,11/02/2021,13/03/2021,8672,0,0,29/03/2021,46,16
Spain,1168-BEASA,2427601971,13/01/2021,12/02/2021,3918,0,0,01/02/2021,19,0
Russia,2824-HJQPP,2428102854,02/04/2020,02/05/2020,8374,1,0,02/05/2020,30,0
Russia,1604-LIFKX,2430916585,07/03/2021,06/04/2021,6345,0,0,22/04/2021,46,16
France,9771-QTLGZ,3817082781,25/07/2020,24/08/2020,2985,1,0,15/08/2020,21,0
United States,7856-ODQFO,2440506703,24/08/2021,23/09/2021,8242,1,0,29/09/2021,36,6
Spain,7372-CESLR,2441403899,27/02/2021,29/03/2021,5917,0,0,22/03/2021,23,0
Spain,7654-DOLHO,2442634583,28/12/2020,27/01/2021,4511,0,0,14/01/2021,17,0
Russia,8887-NCUZC,2442844131,15/04/2021,15/05/2021,6419,0,0,07/05/2021,22,0
France,6048-QPZCF,2448402169,24/09/2021,24/10/2021,7633,0,0,29/09/2021,5,0
Russia,8887-NCUZC,2455126326,02/12/2021,01/01/2022,4951,0,0,07/01/2022,36,6
China,9014-WENVB,2458578956,30/03/2021,29/04/2021,6466,0,0,28/04/2021,29,0
Spain,6391-GBFQJ,2464264785,21/11/2021,21/12/2021,3422,1,0,01/01/2022,41,11
France,8389-TCXFQ,2467417643,03/05/2021,02/06/2021,7357,0,0,17/05/2021,14,0
Spain,9286-VLKMI,2468958629,04/11/2020,04/12/2020,2505,0,0,15/11/2020,11,0
Spain,6177-VTITE,2474022495,30/03/2021,29/04/2021,2570,0,0,08/04/2021,9,0
France,5164-VMYWJ,2486669145,10/11/2021,10/12/2021,7462,0,0,03/12/2021,23,0
United States,3831-FXWYK,2487012635,26/02/2021,28/03/2021,7409,0,0,03/04/2021,36,6
United States,6831-FIODB,2487299552,20/06/2021,20/07/2021,4870,1,0,30/07/2021,40,10
United States,4460-ZXNDN,2487366623,14/05/2021,13/06/2021,8076,1,0,22/06/2021,39,9
United States,6077-FDQRK,2498731372,04/05/2021,03/06/2021,4259,0,0,24/05/2021,20,0
Russia,8364-UWVLM,2506087360,04/02/2020,05/03/2020,6978,0,0,01/03/2020,26,0
United States,7050-KQLDO,2511656905,19/11/2021,19/12/2021,6412,0,0,03/12/2021,14,0
France,8976-AMJEO,2514985347,26/09/2020,26/10/2020,5318,0,0,16/10/2020,20,0
Russia,7946-HJDUR,2515817366,14/08/2021,13/09/2021,5953,0,0,05/09/2021,22,0
United States,4460-ZXNDN,2527171256,22/04/2021,22/05/2021,7516,1,0,25/06/2021,64,34
Spain,6296-UKEUZ,2528333146,03/08/2020,02/09/2020,4531,1,1,19/08/2020,16,0
United States,0465-DTULQ,2528705556,02/04/2021,02/05/2021,6300,0,0,28/04/2021,26,0
China,6632-CGYHU,2529299296,31/10/2021,30/11/2021,9471,0,0,14/11/2021,14,0
France,4092-ZAVRG,2529818478,08/04/2021,08/05/2021,7741,0,0,14/04/2021,6,0
France,6048-QPZCF,2536946008,08/04/2021,08/05/2021,8256,0,0,12/04/2021,4,0
Russia,5924-UOPGH,2538593943,19/01/2021,18/02/2021,7236,1,1,06/03/2021,46,16
France,7245-CKNCN,2548747107,07/11/2020,07/12/2020,7382,0,0,20/11/2020,13,0
Spain,9460-VAZGD,2549781436,24/07/2021,23/08/2021,7906,0,0,13/08/2021,20,0
Spain,3271-YDPUJ,2556169247,26/02/2021,28/03/2021,3988,0,0,26/03/2021,28,0
China,5920-DPXLN,2561298121,01/01/2021,31/01/2021,3610,0,0,13/01/2021,12,0
Russia,5924-UOPGH,2567314578,14/04/2021,14/05/2021,8126,0,0,07/05/2021,23,0
United States,5592-UQXSS,2570203308,28/05/2020,27/06/2020,4433,0,0,29/06/2020,32,2
France,2621-XCLEH,2571390571,24/06/2021,24/07/2021,9062,0,0,29/07/2021,35,5
Spain,7372-CESLR,2585470999,17/03/2020,16/04/2020,3457,0,0,09/04/2020,23,0
China,1080-NDGAE,2592238538,27/05/2020,26/06/2020,9225,1,1,29/06/2020,33,3
China,8156-PCYBM,2597867711,19/01/2021,18/02/2021,5582,0,0,12/02/2021,24,0
Russia,5613-UHVMG,2601239901,29/08/2020,28/09/2020,5554,1,0,13/10/2020,45,15
China,6160-HCSFI,2603539730,25/02/2020,26/03/2020,8321,0,0,19/03/2020,23,0
United States,7856-ODQFO,2606687623,27/07/2020,26/08/2020,6317,0,0,22/08/2020,26,0
France,5164-VMYWJ,1905229160,26/07/2020,25/08/2020,7822,1,0,02/09/2020,38,8
China,5529-TBPGK,2620239474,12/11/2020,12/12/2020,7612,1,0,23/12/2020,41,11
China,9841-XLGBV,2624507671,19/09/2021,19/10/2021,6858,0,0,09/10/2021,20,0
United States,3993-QUNVJ,2631512798,16/04/2021,16/05/2021,7761,0,0,27/04/2021,11,0
Spain,8690-EEBEO,2634865247,11/11/2021,11/12/2021,5443,0,0,18/12/2021,37,7
China,3598-DNURW,2637006256,24/10/2020,23/11/2020,4632,0,0,07/11/2020,14,0
Russia,8887-NCUZC,2640415165,12/01/2021,11/02/2021,3696,0,0,09/02/2021,28,0
France,9758-AIEIK,2649653276,14/05/2020,13/06/2020,5288,0,0,02/06/2020,19,0
United States,9928-IJYBQ,2652788570,02/11/2020,02/12/2020,5653,0,0,09/12/2020,37,7
Russia,8102-ABPKQ,2659238903,09/03/2021,08/04/2021,4686,0,0,12/04/2021,34,4
Russia,9181-HEKGV,2666514859,27/08/2021,26/09/2021,9982,1,0,06/10/2021,40,10
United States,5592-UQXSS,2669865910,07/09/2021,07/10/2021,1453,0,0,03/10/2021,26,0
China,3569-VJWXS,2672884008,23/06/2021,23/07/2021,8856,0,0,03/07/2021,10,0
Russia,8102-ABPKQ,2675977268,29/05/2021,28/06/2021,6735,1,0,23/07/2021,55,25
China,2820-XGXSB,2677499546,13/10/2021,12/11/2021,5418,0,0,18/10/2021,5,0
United States,9928-IJYBQ,2680537112,31/12/2020,30/01/2021,4968,0,0,02/02/2021,33,3
France,5164-VMYWJ,2686795105,14/01/2021,13/02/2021,5186,0,0,09/02/2021,26,0
China,3598-DNURW,2690415975,20/07/2020,19/08/2020,8454,0,0,13/08/2020,24,0
France,6833-ETVHD,2691990675,01/05/2020,31/05/2020,9370,0,0,21/05/2020,20,0
United States,7260-ZHAKS,2693687613,06/11/2021,06/12/2021,5624,0,0,27/11/2021,21,0
Spain,7372-CESLR,2694732247,18/03/2020,17/04/2020,3008,0,0,09/04/2020,22,0
Spain,0688-XNJRO,2698045799,26/03/2021,25/04/2021,5516,1,0,27/05/2021,62,32
France,7938-EVASK,2699755955,22/06/2021,22/07/2021,3881,0,0,27/07/2021,35,5
United States,6077-FDQRK,2702927066,14/05/2021,13/06/2021,4307,0,0,28/05/2021,14,0
China,2423-QOKIO,2714712437,28/12/2020,27/01/2021,9631,0,0,22/01/2021,25,0
Russia,3568-JJMFW,2717531125,05/10/2020,04/11/2020,8313,1,0,28/10/2020,23,0
Russia,6627-ELFBK,2726493725,13/02/2021,15/03/2021,5735,0,0,25/02/2021,12,0
China,2423-QOKIO,2726898858,01/06/2021,01/07/2021,7798,0,0,18/06/2021,17,0
France,9117-LYRCE,9275623026,27/07/2020,26/08/2020,6995,1,1,02/10/2020,67,37
France,3448-OWJOT,312361525,05/07/2020,04/08/2020,6613,1,0,13/08/2020,39,9
France,8389-TCXFQ,2741619477,11/06/2021,11/07/2021,8819,0,0,06/07/2021,25,0
China,2676-DZINU,2742482273,15/11/2020,15/12/2020,5593,1,0,06/12/2020,21,0
Spain,9460-VAZGD,2744921812,20/08/2020,19/09/2020,5205,0,0,06/09/2020,17,0
Spain,0688-XNJRO,2745672878,14/11/2020,14/12/2020,2305,0,0,25/12/2020,41,11
Russia,5875-VZQCZ,2746735879,25/03/2021,24/04/2021,5079,1,0,06/05/2021,42,12
France,5164-VMYWJ,8467769345,28/07/2020,27/08/2020,8676,1,1,15/09/2020,49,19
China,0379-NEVHP,2748334767,24/06/2021,24/07/2021,6166,0,0,11/07/2021,17,0
China,7209-MDWKR,2752068327,23/07/2021,22/08/2021,5603,0,0,18/08/2021,26,0
United States,4460-ZXNDN,2757630472,28/04/2021,28/05/2021,6263,0,0,01/06/2021,34,4
Spain,1168-BEASA,2758133753,12/06/2021,12/07/2021,2680,0,0,03/07/2021,21,0
United States,2687-XWAMA,2765073058,15/04/2021,15/05/2021,5533,0,0,25/04/2021,10,0
Spain,9460-VAZGD,2771850469,28/10/2020,27/11/2020,4513,0,0,22/11/2020,25,0
Russia,7695-NKUXM,2783374260,20/03/2021,19/04/2021,4990,0,0,24/03/2021,4,0
France,7938-EVASK,2794370654,16/01/2020,15/02/2020,8778,0,0,20/02/2020,35,5
China,7841-HROAQ,2800981232,02/07/2020,01/08/2020,8914,0,0,28/07/2020,26,0
France,5164-VMYWJ,2801147000,03/03/2021,02/04/2021,7974,0,0,25/03/2021,22,0
China,0709-LZRJV,2806337298,19/02/2020,20/03/2020,6285,0,0,25/03/2020,35,5
France,8389-TCXFQ,2806345363,18/04/2021,18/05/2021,5037,0,0,08/05/2021,20,0
China,5196-TWQXF,2811916189,28/10/2021,27/11/2021,5407,0,0,13/11/2021,16,0
China,1080-NDGAE,2818239190,15/07/2020,14/08/2020,6148,0,0,13/08/2020,29,0
China,2820-XGXSB,2819777550,24/05/2021,23/06/2021,6145,0,0,28/05/2021,4,0
China,9212-BTDMX,2824604487,28/01/2020,27/02/2020,7425,0,0,13/02/2020,16,0
United States,6077-FDQRK,2827612677,21/11/2020,21/12/2020,3336,0,0,07/12/2020,16,0
Russia,8102-ABPKQ,2836103383,10/05/2020,09/06/2020,6821,1,0,23/06/2020,44,14
France,9117-LYRCE,2840107285,02/01/2021,01/02/2021,4959,0,0,06/02/2021,35,5
United States,9928-IJYBQ,2843203106,27/06/2020,27/07/2020,4575,0,0,31/07/2020,34,4
France,9322-YCTQO,2863276075,26/03/2020,25/04/2020,9594,0,0,06/05/2020,41,11
China,3598-DNURW,2867355070,05/11/2021,05/12/2021,9041,0,0,22/11/2021,17,0
China,6708-DPYTF,2871447909,05/05/2021,04/06/2021,7649,0,0,03/06/2021,29,0
France,8976-AMJEO,2872500354,25/03/2020,24/04/2020,6741,0,0,18/04/2020,24,0
China,0709-LZRJV,2879905746,24/11/2021,24/12/2021,5629,0,0,24/12/2021,30,0
Russia,5875-VZQCZ,2882083969,22/05/2021,21/06/2021,6606,1,0,08/07/2021,47,17
United States,7050-KQLDO,2884857136,19/09/2020,19/10/2020,5253,0,0,13/10/2020,24,0
Spain,7372-CESLR,2898287464,28/10/2020,27/11/2020,1270,0,0,25/11/2020,28,0
China,7329-TWKLF,2899243412,30/06/2020,30/07/2020,7422,0,0,23/07/2020,23,0
Spain,7372-CESLR,2900528557,28/11/2020,28/12/2020,4176,0,0,31/12/2020,33,3
China,7209-MDWKR,2906379133,17/12/2020,16/01/2021,6675,0,0,01/02/2021,46,16
China,1080-NDGAE,2912484665,05/08/2021,04/09/2021,9216,1,0,08/09/2021,34,4
France,7245-CKNCN,2923296215,04/01/2020,03/02/2020,6771,0,0,28/01/2020,24,0
Russia,5148-SYKLB,2924198306,31/10/2021,30/11/2021,9126,0,0,22/11/2021,22,0
Russia,6627-ELFBK,2924562161,17/12/2020,16/01/2021,9873,0,0,03/01/2021,17,0
China,1080-NDGAE,2925434206,11/10/2021,10/11/2021,7607,0,0,23/10/2021,12,0
Spain,6177-VTITE,2926591272,22/06/2021,22/07/2021,3662,1,0,16/07/2021,24,0
United States,7260-ZHAKS,2936586813,30/04/2021,30/05/2021,5978,0,0,30/05/2021,30,0
Russia,7695-NKUXM,2938081000,19/03/2020,18/04/2020,5721,1,0,06/04/2020,18,0
France,9725-EZTEJ,2073573910,30/07/2020,29/08/2020,7495,1,0,02/09/2020,34,4
United States,7758-WKLVM,2947584001,19/03/2021,18/04/2021,7250,1,0,11/05/2021,53,23
Spain,9460-VAZGD,2947790220,05/01/2020,04/02/2020,3228,0,0,19/01/2020,14,0
Russia,3271-HYHDN,2949843698,10/04/2020,10/05/2020,3935,0,0,15/04/2020,5,0
China,5920-DPXLN,2952430924,11/06/2021,11/07/2021,5309,0,0,21/06/2021,10,0
France,5164-VMYWJ,2953405140,21/08/2021,20/09/2021,6141,0,0,12/09/2021,22,0
Spain,0688-XNJRO,2960848343,22/08/2021,21/09/2021,3660,0,0,26/09/2021,35,5
China,6632-CGYHU,2962262974,06/09/2021,06/10/2021,5650,0,0,13/09/2021,7,0
Russia,2824-HJQPP,2964011777,06/01/2021,05/02/2021,7050,0,0,30/01/2021,24,0
Russia,9181-HEKGV,2966579935,18/05/2021,17/06/2021,9985,1,0,15/07/2021,58,28
Spain,8942-ERSWK,2969671399,26/05/2021,25/06/2021,747,0,0,31/05/2021,5,0
Spain,1168-BEASA,2969926155,11/06/2021,11/07/2021,8263,0,0,03/07/2021,22,0
China,5920-DPXLN,2969979027,30/12/2020,29/01/2021,5034,0,0,14/01/2021,15,0
United States,6831-FIODB,2970425808,13/08/2021,12/09/2021,3574,0,0,01/09/2021,19,0
Spain,7372-CESLR,2977673351,03/06/2021,03/07/2021,3489,0,0,24/06/2021,21,0
France,8976-AMJEO,2979360755,12/05/2020,11/06/2020,10367,0,0,02/06/2020,21,0
United States,7856-ODQFO,2987359559,08/03/2021,07/04/2021,5796,1,0,24/04/2021,47,17
China,0379-NEVHP,2998565198,12/02/2020,13/03/2020,2821,0,0,28/02/2020,16,0
China,6632-CGYHU,3007642107,20/05/2020,19/06/2020,5603,0,0,01/06/2020,12,0
Russia,8364-UWVLM,3014047428,12/11/2020,12/12/2020,9203,0,0,08/12/2020,26,0
China,7209-MDWKR,3021707927,20/08/2020,19/09/2020,7555,0,0,17/09/2020,28,0
France,7600-OISKG,3023099566,18/02/2021,20/03/2021,4551,0,0,07/03/2021,17,0
United States,2026-XLBER,3025631462,26/04/2021,26/05/2021,10354,1,0,25/05/2021,29,0
Spain,9250-VHLWY,3030097145,20/02/2020,21/03/2020,6841,0,0,18/03/2020,27,0
Russia,5148-SYKLB,3032739429,10/05/2021,09/06/2021,8641,1,0,11/06/2021,32,2
Russia,1604-LIFKX,3037486776,29/01/2021,28/02/2021,7937,0,0,11/03/2021,41,11
Russia,8887-NCUZC,3047515591,03/02/2021,05/03/2021,3717,1,0,18/03/2021,43,13
China,2676-DZINU,3053205526,28/05/2020,27/06/2020,5656,0,0,10/06/2020,13,0
United States,9928-IJYBQ,3053271258,03/04/2021,03/05/2021,8395,0,0,09/05/2021,36,6
China,0379-NEVHP,3056950219,11/08/2021,10/09/2021,4708,0,0,21/08/2021,10,0
France,9758-AIEIK,3059762404,25/05/2020,24/06/2020,5134,0,0,11/06/2020,17,0
China,6632-CGYHU,3060840745,25/10/2020,24/11/2020,8368,0,0,09/11/2020,15,0
China,9174-IYKOC,3066073542,02/03/2020,01/04/2020,5379,0,0,02/04/2020,31,1
Russia,2824-HJQPP,3077571538,27/02/2021,29/03/2021,6454,0,0,18/03/2021,19,0
France,4640-FGEJI,3078815567,02/04/2021,02/05/2021,9462,0,0,21/04/2021,19,0
United States,7228-LEPPM,3085234788,09/02/2021,11/03/2021,3470,0,0,14/03/2021,33,3
France,7600-OISKG,3163580771,01/08/2020,31/08/2020,7902,1,0,30/08/2020,29,0
United States,7758-WKLVM,3089793704,09/10/2020,08/11/2020,5682,0,0,10/11/2020,32,2
France,8389-TCXFQ,6941328190,01/08/2020,31/08/2020,7183,1,0,04/09/2020,34,4
China,9014-WENVB,3090692385,22/11/2020,22/12/2020,8968,0,0,24/12/2020,32,2
Russia,8364-UWVLM,3091329049,06/02/2021,08/03/2021,9159,1,0,08/03/2021,30,0
Russia,6627-ELFBK,3094167273,01/08/2021,31/08/2021,8683,0,0,23/08/2021,22,0
Russia,8102-ABPKQ,3097229122,08/04/2021,08/05/2021,5601,1,0,08/05/2021,30,0
China,9014-WENVB,3102041998,17/01/2020,16/02/2020,6999,0,0,15/02/2020,29,0
France,4632-QZOKX,7603025462,02/08/2020,01/09/2020,5806,1,1,14/09/2020,43,13
Spain,8942-ERSWK,3110080050,18/09/2020,18/10/2020,1306,0,0,30/09/2020,12,0
Russia,3568-JJMFW,3110539999,30/03/2020,29/04/2020,3621,1,0,29/04/2020,30,0
China,7209-MDWKR,3110878377,19/06/2021,19/07/2021,3623,0,0,12/07/2021,23,0
Spain,8942-ERSWK,3112379825,25/05/2021,24/06/2021,5160,0,0,02/06/2021,8,0
Spain,9250-VHLWY,3113502518,15/09/2020,15/10/2020,4649,0,0,15/10/2020,30,0
United States,2026-XLBER,3115534110,31/05/2021,30/06/2021,7066,1,0,26/06/2021,26,0
Spain,9250-VHLWY,3121730234,05/10/2020,04/11/2020,4887,0,0,26/10/2020,21,0
Spain,8942-ERSWK,3123420222,03/07/2020,02/08/2020,2541,0,0,11/07/2020,8,0
China,2423-QOKIO,3138040805,02/10/2020,01/11/2020,7521,0,0,01/11/2020,30,0
United States,9149-MATVB,3141193941,09/01/2021,08/02/2021,6581,0,0,03/02/2021,25,0
Russia,6627-ELFBK,3146057306,08/08/2020,07/09/2020,7800,0,0,26/08/2020,18,0
Russia,7946-HJDUR,3148320908,31/10/2021,30/11/2021,5648,0,0,28/11/2021,28,0
France,5284-DJOZO,3148914031,28/02/2020,29/03/2020,7891,0,0,14/03/2020,15,0
China,8156-PCYBM,3148980303,17/05/2020,16/06/2020,8220,0,0,15/06/2020,29,0
Spain,9250-VHLWY,3153726272,20/01/2021,19/02/2021,6543,0,0,10/02/2021,21,0
France,5284-DJOZO,847327295,04/08/2020,03/09/2020,7295,1,0,09/09/2020,36,6
United States,2687-XWAMA,3155625555,06/05/2021,05/06/2021,4172,0,0,09/05/2021,3,0
China,7841-HROAQ,3155920868,08/08/2020,07/09/2020,5374,0,0,04/09/2020,27,0
United States,6077-FDQRK,3158139891,29/07/2020,28/08/2020,3259,0,0,16/08/2020,18,0
Russia,5613-UHVMG,3160080084,16/04/2021,16/05/2021,7186,0,0,24/05/2021,38,8
United States,3831-FXWYK,3161602616,29/03/2020,28/04/2020,7928,0,0,06/05/2020,38,8
China,3598-DNURW,3162263646,29/09/2020,29/10/2020,9091,0,0,19/10/2020,20,0
France,8389-TCXFQ,8193753679,04/08/2020,03/09/2020,6965,1,0,13/09/2020,40,10
France,9771-QTLGZ,6265467648,07/08/2020,06/09/2020,5119,1,0,31/08/2020,24,0
Russia,3568-JJMFW,3168924777,25/04/2021,25/05/2021,7288,1,0,13/05/2021,18,0
United States,7050-KQLDO,3170339882,07/03/2020,06/04/2020,6224,0,0,05/04/2020,29,0
China,2125-HJDLA,3171200707,30/12/2020,29/01/2021,6193,0,0,16/02/2021,48,18
Spain,7654-DOLHO,3177584497,11/08/2020,10/09/2020,2304,0,0,06/09/2020,26,0
Russia,6004-KITZM,3180169613,16/06/2020,16/07/2020,6551,0,0,06/07/2020,20,0
France,7245-CKNCN,3191043730,02/11/2020,02/12/2020,6157,0,0,18/11/2020,16,0
Russia,3568-JJMFW,3191622040,25/05/2021,24/06/2021,9664,1,0,10/06/2021,16,0
Spain,9883-SDWFS,3193716421,23/05/2020,22/06/2020,1901,1,0,05/07/2020,43,13
Russia,8102-ABPKQ,3197860193,22/09/2020,22/10/2020,3286,0,0,02/11/2020,41,11
Russia,6627-ELFBK,3205321485,20/01/2020,19/02/2020,6052,0,0,11/02/2020,22,0
United States,7260-ZHAKS,3206241963,22/02/2021,24/03/2021,8944,0,0,16/03/2021,22,0
China,8820-BLYDZ,3208997911,12/01/2021,11/02/2021,4632,0,0,21/01/2021,9,0
China,2676-DZINU,3218896620,05/08/2021,04/09/2021,5250,0,0,13/08/2021,8,0
Russia,8364-UWVLM,3219214405,16/03/2021,15/04/2021,6267,1,0,19/04/2021,34,4
Russia,2824-HJQPP,3223401501,30/11/2020,30/12/2020,10008,0,0,30/12/2020,30,0
United States,4460-ZXNDN,3224727771,23/02/2021,25/03/2021,8471,1,0,01/04/2021,37,7
France,9117-LYRCE,3225557120,20/02/2021,22/03/2021,2925,0,0,23/03/2021,31,1
China,6708-DPYTF,3228259319,11/11/2020,11/12/2020,9419,0,0,15/12/2020,34,4
China,7841-HROAQ,3230944193,24/07/2020,23/08/2020,7784,0,0,15/08/2020,22,0
France,4092-ZAVRG,3240616518,18/10/2021,17/11/2021,6356,1,1,22/10/2021,4,0
China,3569-VJWXS,3242588970,15/05/2021,14/06/2021,3523,0,0,07/06/2021,23,0
United States,4460-ZXNDN,3242899571,25/03/2020,24/04/2020,4559,0,0,28/04/2020,34,4
United States,3993-QUNVJ,3244991557,06/04/2021,06/05/2021,7644,0,0,17/04/2021,11,0
United States,7758-WKLVM,3248497540,09/06/2020,09/07/2020,6806,0,0,06/07/2020,27,0
United States,7758-WKLVM,3248545962,24/03/2020,23/04/2020,6308,1,0,07/05/2020,44,14
United States,9149-MATVB,3250840107,28/11/2021,28/12/2021,4257,0,0,23/12/2021,25,0
United States,7856-ODQFO,3261039339,29/03/2021,28/04/2021,1463,0,0,24/04/2021,26,0
United States,9928-IJYBQ,3264536681,15/10/2020,14/11/2020,3277,0,0,16/11/2020,32,2
France,8976-AMJEO,3267864290,15/01/2020,14/02/2020,5755,0,0,15/02/2020,31,1
Spain,9883-SDWFS,3271911081,26/08/2021,25/09/2021,4968,1,0,15/10/2021,50,20
China,2676-DZINU,3284111300,14/07/2020,13/08/2020,8931,0,0,02/08/2020,19,0
France,5573-KSOIA,3285658330,19/08/2021,18/09/2021,4754,0,0,26/09/2021,38,8
China,1080-NDGAE,3289097967,30/08/2021,29/09/2021,8260,1,0,03/10/2021,34,4
France,0783-PEPYR,3289137440,02/08/2020,01/09/2020,8475,0,0,13/09/2020,42,12
Spain,6391-GBFQJ,3289419980,24/03/2020,23/04/2020,711,0,0,09/04/2020,16,0
China,9212-BTDMX,3294653032,07/12/2020,06/01/2021,7773,0,0,19/12/2020,12,0
Spain,7372-CESLR,3298709830,10/04/2020,10/05/2020,2124,0,0,04/05/2020,24,0
France,9725-EZTEJ,3312319528,07/06/2020,07/07/2020,7260,0,0,16/06/2020,9,0
United States,6077-FDQRK,3314980148,08/01/2020,07/02/2020,2884,0,0,01/02/2020,24,0
United States,2026-XLBER,3315197094,13/09/2021,13/10/2021,6179,1,0,03/10/2021,20,0
France,6833-ETVHD,3319185490,10/05/2020,09/06/2020,7776,0,0,30/05/2020,20,0
China,7329-TWKLF,3320090298,19/05/2021,18/06/2021,7965,0,0,05/06/2021,17,0
China,5529-TBPGK,3336714183,17/03/2020,16/04/2020,5336,0,0,15/04/2020,29,0
United States,9323-NDIOV,3341311423,02/09/2021,02/10/2021,6897,0,0,28/09/2021,26,0
China,0709-LZRJV,3342383577,21/06/2021,21/07/2021,3609,0,0,12/07/2021,21,0
China,6632-CGYHU,3345939091,21/11/2021,21/12/2021,10241,0,0,28/11/2021,7,0
Russia,3568-JJMFW,3347038968,13/06/2020,13/07/2020,8170,1,0,10/07/2020,27,0
France,0783-PEPYR,3347423476,27/05/2021,26/06/2021,10452,0,0,07/07/2021,41,11
Russia,8102-ABPKQ,3353183486,29/10/2020,28/11/2020,4970,0,0,30/11/2020,32,2
China,0709-LZRJV,3355481569,27/08/2021,26/09/2021,6273,0,0,19/09/2021,23,0
China,6160-HCSFI,3357258713,24/03/2021,23/04/2021,6537,0,0,07/04/2021,14,0
France,5164-VMYWJ,3359614666,30/10/2020,29/11/2020,5693,0,0,17/11/2020,18,0
France,9322-YCTQO,3362601597,30/11/2021,30/12/2021,5254,0,0,05/01/2022,36,6
United States,2687-XWAMA,3363342172,09/03/2021,08/04/2021,4475,0,0,26/03/2021,17,0
France,4640-FGEJI,3369665872,20/04/2021,20/05/2021,6348,0,0,16/05/2021,26,0
Russia,6627-ELFBK,3371422208,11/05/2021,10/06/2021,6103,0,0,25/05/2021,14,0
Spain,8942-ERSWK,3372046335,17/03/2020,16/04/2020,2616,1,0,12/04/2020,26,0
Russia,8102-ABPKQ,3374535086,12/08/2021,11/09/2021,4931,1,0,30/09/2021,49,19
Spain,8942-ERSWK,3378881881,16/03/2021,15/04/2021,1388,0,0,21/03/2021,5,0
Spain,8690-EEBEO,3388237396,04/12/2020,03/01/2021,5778,0,0,10/01/2021,37,7
Russia,1604-LIFKX,3388733623,15/03/2020,14/04/2020,5817,0,0,04/05/2020,50,20
China,1080-NDGAE,3392014041,01/03/2020,31/03/2020,5654,0,0,24/03/2020,23,0
Russia,5924-UOPGH,3394333507,04/08/2021,03/09/2021,6560,0,0,18/08/2021,14,0
United States,2026-XLBER,3398429374,01/09/2021,01/10/2021,6898,0,0,12/09/2021,11,0
China,0379-NEVHP,3399547582,24/10/2020,23/11/2020,5070,0,0,06/11/2020,13,0
France,7245-CKNCN,3404073698,22/05/2020,21/06/2020,8782,0,0,13/06/2020,22,0
China,7329-TWKLF,3414952429,10/03/2021,09/04/2021,6224,0,0,05/04/2021,26,0
China,8156-PCYBM,3416294053,04/01/2021,03/02/2021,5803,0,0,03/02/2021,30,0
France,7245-CKNCN,3418724483,17/04/2021,17/05/2021,7926,0,0,24/04/2021,7,0
Spain,7372-CESLR,3424410029,13/11/2021,13/12/2021,2363,0,0,19/11/2021,6,0
United States,4460-ZXNDN,3428691656,13/06/2021,13/07/2021,5047,0,0,18/07/2021,35,5
China,2820-XGXSB,3435598635,28/11/2020,28/12/2020,7582,0,0,02/12/2020,4,0
United States,6831-FIODB,3437789966,29/04/2020,29/05/2020,5226,0,0,06/06/2020,38,8
China,3598-DNURW,3438246206,31/08/2021,30/09/2021,6601,0,0,12/09/2021,12,0
Russia,3568-JJMFW,3442695944,11/05/2020,10/06/2020,8439,1,0,07/06/2020,27,0
France,4092-ZAVRG,3453759273,09/12/2020,08/01/2021,8127,0,0,13/12/2020,4,0
China,6160-HCSFI,3461153482,12/10/2020,11/11/2020,8847,0,0,07/11/2020,26,0
Russia,6004-KITZM,3470607785,13/04/2021,13/05/2021,3860,0,0,01/05/2021,18,0
Russia,5875-VZQCZ,3478923173,28/05/2020,27/06/2020,8748,1,0,03/07/2020,36,6
France,9117-LYRCE,9199249934,21/08/2020,20/09/2020,4262,1,0,14/10/2020,54,24
United States,9928-IJYBQ,3480606970,09/05/2021,08/06/2021,5883,0,0,11/06/2021,33,3
France,8389-TCXFQ,3486080032,23/08/2020,22/09/2020,6312,0,0,22/09/2020,30,0
United States,9149-MATVB,3491048160,28/08/2021,27/09/2021,6302,0,0,17/09/2021,20,0
China,3569-VJWXS,3503012790,14/05/2021,13/06/2021,4367,0,0,29/05/2021,15,0
China,9174-IYKOC,3509509542,09/08/2021,08/09/2021,6682,0,0,02/09/2021,24,0
Spain,9883-SDWFS,3510258292,13/06/2020,13/07/2020,3806,0,0,09/07/2020,26,0
Spain,7654-DOLHO,3511077910,06/10/2020,05/11/2020,4744,0,0,04/11/2020,29,0
France,3448-OWJOT,3558050155,28/07/2020,27/08/2020,5964,1,0,07/09/2020,41,11
China,8820-BLYDZ,3516217989,03/09/2020,03/10/2020,6495,0,0,16/09/2020,13,0
Russia,6627-ELFBK,3517011034,15/02/2021,17/03/2021,6528,0,0,01/03/2021,14,0
Spain,6391-GBFQJ,3520423399,04/10/2021,03/11/2021,2477,0,0,17/10/2021,13,0
